customer_id,frequency,Recency,Monetary,R,F,M,RFM_score,Segments
296,3,2200,4016.36,3,1,1,311,Can't Loose Customers
297,4,2200,5674.71,3,1,2,312,Other
298,11,2200,12420.52,3,3,3,333,Champions
299,7,2284,10296.12,3,2,3,323,Other
300,5,2348,7003.74,2,2,2,222,Loyal Customers
301,2,2285,361.78,3,1,1,311,Can't Loose Customers
302,2,2468,2024.93,1,1,1,111,Lost Customers
303,3,2235,3874.1800000000003,3,1,1,311,Can't Loose Customers
304,9,2272,7284.7,3,3,2,332,Other
305,7,2225,6385.26,3,2,2,322,Recent Users
306,2,2315,1362.46,2,1,1,211,Other
307,9,2207,9818.0,3,3,2,332,Other
308,6,2217,7432.02,3,2,2,322,Recent Users
309,4,2201,5475.93,3,1,2,312,Other
310,7,2200,9065.04,3,2,2,322,Recent Users
311,6,2253,7559.06,3,2,2,322,Recent Users
312,6,2205,7564.12,3,2,2,322,Recent Users
313,6,2209,8979.0,3,2,2,322,Recent Users
314,8,2212,6264.7300000000005,3,2,2,322,Recent Users
315,9,2219,7677.51,3,3,2,332,Other
316,4,2203,3813.84,3,1,1,311,Can't Loose Customers
317,5,2243,6692.47,3,2,2,322,Recent Users
318,7,2201,9276.07,3,2,2,322,Recent Users
319,5,2263,7051.54,3,2,2,322,Recent Users
320,10,2204,11721.06,3,3,3,333,Champions
321,5,2204,5405.99,3,2,2,322,Recent Users
322,12,2193,14782.23,3,3,3,333,Champions
323,6,2227,4992.110000000001,3,2,1,321,Price Sensitive
324,5,2213,2711.14,3,2,1,321,Price Sensitive
325,7,2325,9377.09,2,2,2,222,Loyal Customers
326,3,2353,3419.08,2,1,1,211,Other
327,5,2208,6108.21,3,2,2,322,Recent Users
328,8,2196,5739.53,3,2,2,322,Recent Users
329,6,2226,5425.24,3,2,2,322,Recent Users
330,6,2299,8513.2,2,2,2,222,Loyal Customers
331,7,2274,8593.36,3,2,2,322,Recent Users
332,2,2455,1362.46,1,1,1,111,Lost Customers
333,7,2214,6422.91,3,2,2,322,Recent Users
334,6,2248,6125.9,3,2,2,322,Recent Users
335,2,2216,2234.34,3,1,1,311,Can't Loose Customers
336,5,2274,3711.9500000000003,3,2,1,321,Price Sensitive
337,6,2229,5855.57,3,2,2,322,Recent Users
338,7,2202,8578.51,3,2,2,322,Recent Users
339,5,2250,6459.18,3,2,2,322,Recent Users
340,8,2222,8079.91,3,2,2,322,Recent Users
341,2,2326,3532.9399999999996,2,1,1,211,Other
342,4,2285,2455.7599999999998,3,1,1,311,Can't Loose Customers
343,9,2295,10378.0,2,3,3,233,Potential Loyalists
344,9,2200,11386.87,3,3,3,333,Champions
345,7,2211,7446.139999999999,3,2,2,322,Recent Users
346,9,2204,8874.36,3,3,2,332,Other
347,7,2251,12360.26,3,2,3,323,Other
348,6,2317,5562.58,2,2,2,222,Loyal Customers
349,5,2358,4619.93,2,2,1,221,Other
350,6,2196,4728.13,3,2,1,321,Price Sensitive
351,2,2203,2832.11,3,1,1,311,Can't Loose Customers
352,6,2217,8533.27,3,2,2,322,Recent Users
353,11,2215,13721.09,3,3,3,333,Champions
354,6,2259,5392.11,3,2,2,322,Recent Users
355,5,2237,4674.02,3,2,1,321,Price Sensitive
356,5,2253,5765.9,3,2,2,322,Recent Users
357,8,2207,8779.220000000001,3,2,2,322,Recent Users
358,2,2262,2129.82,3,1,1,311,Can't Loose Customers
359,10,2200,8564.63,3,3,2,332,Other
360,5,2200,6069.39,3,2,2,322,Recent Users
361,7,2338,6592.67,2,2,2,222,Loyal Customers
362,5,2192,3486.48,3,2,1,321,Price Sensitive
363,6,2206,11621.14,3,2,3,323,Other
364,6,2203,6791.39,3,2,2,322,Recent Users
365,7,2242,8188.29,3,2,2,322,Recent Users
366,6,2307,5867.110000000001,2,2,2,222,Loyal Customers
367,6,2235,7014.01,3,2,2,322,Recent Users
368,9,2205,9300.06,3,3,2,332,Other
369,8,2293,9536.35,2,2,2,222,Loyal Customers
370,7,2303,7633.95,2,2,2,222,Loyal Customers
371,5,2201,6859.8,3,2,2,322,Recent Users
372,8,2223,6870.42,3,2,2,322,Recent Users
373,1,2415,1466.68,1,1,1,111,Lost Customers
374,6,2205,7756.64,3,2,2,322,Recent Users
375,4,2283,3460.33,3,1,1,311,Can't Loose Customers
376,3,2235,1981.8899999999999,3,1,1,311,Can't Loose Customers
377,13,2198,11607.86,3,3,3,333,Champions
378,7,2316,5827.91,2,2,2,222,Loyal Customers
379,2,2337,2849.83,2,1,1,211,Other
380,8,2227,10261.59,3,2,3,323,Other
381,8,2194,8019.8,3,2,2,322,Recent Users
382,7,2227,6536.92,3,2,2,322,Recent Users
383,3,2243,3922.8999999999996,3,1,1,311,Can't Loose Customers
384,5,2277,5068.24,3,2,2,322,Recent Users
385,9,2270,10758.23,3,3,3,333,Champions
386,5,2258,5445.4400000000005,3,2,2,322,Recent Users
387,3,2223,5303.1,3,1,2,312,Other
388,3,2247,2857.55,3,1,1,311,Can't Loose Customers
389,6,2305,3948.4300000000003,2,2,1,221,Other
390,6,2268,4490.52,3,2,1,321,Price Sensitive
391,4,2248,3132.87,3,1,1,311,Can't Loose Customers
392,7,2293,8157.6,2,2,2,222,Loyal Customers
393,2,2338,2728.3599999999997,2,1,1,211,Other
394,8,2237,7818.74,3,2,2,322,Recent Users
395,7,2222,7802.49,3,2,2,322,Recent Users
396,6,2221,6560.6900000000005,3,2,2,322,Recent Users
397,6,2237,4641.1,3,2,1,321,Price Sensitive
398,7,2204,4446.48,3,2,1,321,Price Sensitive
399,6,2241,7848.56,3,2,2,322,Recent Users
400,5,2326,4266.01,2,2,1,221,Other
401,7,2221,7478.68,3,2,2,322,Recent Users
402,6,2248,8148.22,3,2,2,322,Recent Users
403,6,2248,6122.63,3,2,2,322,Recent Users
404,9,2210,9330.26,3,3,2,332,Other
405,6,2206,7468.88,3,2,2,322,Recent Users
406,6,2298,5892.509999999999,2,2,2,222,Loyal Customers
407,9,2201,7837.83,3,3,2,332,Other
408,5,2209,5252.97,3,2,2,322,Recent Users
409,4,2205,3610.11,3,1,1,311,Can't Loose Customers
410,7,2198,5472.9,3,2,2,322,Recent Users
411,5,2379,5130.24,2,2,2,222,Loyal Customers
412,3,2219,3041.12,3,1,1,311,Can't Loose Customers
413,5,2359,5306.63,2,2,2,222,Loyal Customers
414,6,2239,4770.45,3,2,1,321,Price Sensitive
415,2,2440,3670.0,1,1,1,111,Lost Customers
416,5,2280,4670.05,3,2,1,321,Price Sensitive
417,8,2262,9905.65,3,2,2,322,Recent Users
418,6,2220,6298.139999999999,3,2,2,322,Recent Users
419,7,2206,7917.43,3,2,2,322,Recent Users
420,10,2251,11080.54,3,3,3,333,Champions
421,6,2248,7222.93,3,2,2,322,Recent Users
422,4,2325,5465.0,2,1,2,212,Other
423,5,2333,5058.62,2,2,2,222,Loyal Customers
424,7,2266,9036.62,3,2,2,322,Recent Users
425,7,2217,10925.23,3,2,3,323,Other
426,9,2251,10506.86,3,3,3,333,Champions
427,4,2301,4678.55,2,1,1,211,Other
428,8,2243,9009.45,3,2,2,322,Recent Users
429,8,2210,8631.57,3,2,2,322,Recent Users
430,6,2257,7494.51,3,2,2,322,Recent Users
431,2,2290,3232.46,3,1,1,311,Can't Loose Customers
432,8,2213,9237.06,3,2,2,322,Recent Users
433,9,2207,10236.83,3,3,3,333,Champions
434,2,2489,1945.46,1,1,1,111,Lost Customers
435,4,2294,5669.1,2,1,2,212,Other
436,3,2242,3374.59,3,1,1,311,Can't Loose Customers
437,6,2240,5595.76,3,2,2,322,Recent Users
438,8,2243,12777.29,3,2,3,323,Other
439,6,2291,6584.91,2,2,2,222,Loyal Customers
440,8,2203,7773.05,3,2,2,322,Recent Users
441,3,2254,2910.7200000000003,3,1,1,311,Can't Loose Customers
442,7,2205,5714.68,3,2,2,322,Recent Users
443,7,2196,7525.93,3,2,2,322,Recent Users
444,7,2237,7147.11,3,2,2,322,Recent Users
445,11,2216,14593.220000000001,3,3,3,333,Champions
446,8,2244,10683.11,3,2,3,323,Other
447,6,2192,6502.92,3,2,2,322,Recent Users
448,5,2380,6085.0599999999995,2,2,2,222,Loyal Customers
449,6,2325,6240.950000000001,2,2,2,222,Loyal Customers
450,4,2274,5369.55,3,1,2,312,Other
451,6,2258,5925.52,3,2,2,322,Recent Users
452,5,2216,3872.4300000000003,3,2,1,321,Price Sensitive
453,8,2233,6220.21,3,2,2,322,Recent Users
454,7,2241,9662.82,3,2,2,322,Recent Users
455,3,2259,4076.17,3,1,1,311,Can't Loose Customers
456,5,2280,6261.639999999999,3,2,2,322,Recent Users
457,5,2307,6553.5199999999995,2,2,2,222,Loyal Customers
458,5,2218,3615.63,3,2,1,321,Price Sensitive
459,5,2230,6449.13,3,2,2,322,Recent Users
460,4,2209,5012.97,3,1,2,312,Other
461,8,2212,10366.86,3,2,3,323,Other
462,6,2334,7830.79,2,2,2,222,Loyal Customers
463,7,2251,7679.47,3,2,2,322,Recent Users
464,6,2201,8289.86,3,2,2,322,Recent Users
465,6,2196,4766.91,3,2,1,321,Price Sensitive
466,7,2232,6597.52,3,2,2,322,Recent Users
467,7,2361,9085.53,2,2,2,222,Loyal Customers
468,6,2286,7264.86,3,2,2,322,Recent Users
469,10,2293,7566.66,2,3,2,232,Other
470,7,2201,7158.48,3,2,2,322,Recent Users
471,6,2240,6243.62,3,2,2,322,Recent Users
472,5,2241,5989.66,3,2,2,322,Recent Users
473,9,2307,12033.62,2,3,3,233,Potential Loyalists
474,2,2289,2107.8199999999997,3,1,1,311,Can't Loose Customers
475,7,2216,5131.25,3,2,2,322,Recent Users
476,4,2201,4416.9,3,1,1,311,Can't Loose Customers
477,5,2227,5899.43,3,2,2,322,Recent Users
478,9,2195,8880.93,3,3,2,332,Other
479,9,2268,8781.24,3,3,2,332,Other
480,2,2209,3179.31,3,1,1,311,Can't Loose Customers
481,2,2206,2156.44,3,1,1,311,Can't Loose Customers
482,10,2267,11870.130000000001,3,3,3,333,Champions
483,7,2232,8372.11,3,2,2,322,Recent Users
484,5,2211,5694.35,3,2,2,322,Recent Users
485,6,2206,5662.3099999999995,3,2,2,322,Recent Users
486,5,2283,7323.58,3,2,2,322,Recent Users
487,2,2331,1875.15,2,1,1,211,Other
488,7,2219,4859.099999999999,3,2,1,321,Price Sensitive
489,5,2316,5450.6900000000005,2,2,2,222,Loyal Customers
490,9,2245,9886.75,3,3,2,332,Other
491,7,2260,6140.67,3,2,2,322,Recent Users
492,4,2281,5248.15,3,1,2,312,Other
493,3,2267,607.78,3,1,1,311,Can't Loose Customers
494,3,2325,2524.5299999999997,2,1,1,211,Other
495,6,2320,6120.139999999999,2,2,2,222,Loyal Customers
496,4,2237,3612.19,3,1,1,311,Can't Loose Customers
497,4,2251,2772.15,3,1,1,311,Can't Loose Customers
498,7,2199,9834.95,3,2,2,322,Recent Users
499,11,2247,8960.43,3,3,2,332,Other
500,8,2216,9381.92,3,2,2,322,Recent Users
501,4,2320,3118.51,2,1,1,211,Other
502,5,2323,4852.31,2,2,1,221,Other
503,4,2275,3993.05,3,1,1,311,Can't Loose Customers
504,8,2328,7145.67,2,2,2,222,Loyal Customers
505,5,2206,6456.41,3,2,2,322,Recent Users
506,10,2248,14208.25,3,3,3,333,Champions
507,8,2228,9146.18,3,2,2,322,Recent Users
508,6,2347,7648.2,2,2,2,222,Loyal Customers
509,6,2281,6017.45,3,2,2,322,Recent Users
510,2,2251,3333.38,3,1,1,311,Can't Loose Customers
511,5,2203,4598.69,3,2,1,321,Price Sensitive
512,4,2287,4233.95,3,1,1,311,Can't Loose Customers
513,5,2206,5958.04,3,2,2,322,Recent Users
514,5,2315,7401.06,2,2,2,222,Loyal Customers
515,9,2206,12264.8,3,3,3,333,Champions
516,10,2211,9021.7,3,3,2,332,Other
517,6,2202,5083.11,3,2,2,322,Recent Users
518,3,2453,3288.99,1,1,1,111,Lost Customers
519,4,2247,4470.85,3,1,1,311,Can't Loose Customers
520,5,2208,2566.04,3,2,1,321,Price Sensitive
521,2,2346,1849.5700000000002,2,1,1,211,Other
522,4,2233,3520.19,3,1,1,311,Can't Loose Customers
523,6,2210,6485.21,3,2,2,322,Recent Users
524,7,2330,6400.86,2,2,2,222,Loyal Customers
525,8,2311,10372.68,2,2,3,223,Other
526,3,2346,2674.66,2,1,1,211,Other
527,2,2235,2476.84,3,1,1,311,Can't Loose Customers
528,7,2326,7737.110000000001,2,2,2,222,Loyal Customers
